,0
157,irish_water_spaniel
158,cairn
159,samoyed
160,norfolk_terrier
161,afghan_hound
162,samoyed
163,afghan_hound
164,bouvier_des_flandres
165,basset
166,cocker_spaniel
167,norwegian_elkhound
168,papillon
169,weimaraner
170,gordon_setter
171,bluetick
172,german_short-haired_pointer
173,dhole
174,siberian_husky
175,redbone
176,dingo
177,maltese_dog
178,afghan_hound
179,japanese_spaniel
180,cardigan
181,kerry_blue_terrier
182,sealyham_terrier
183,basenji
184,eskimo_dog
185,maltese_dog
186,border_terrier
187,english_springer
188,weimaraner
189,great_pyrenees
190,cairn
191,pomeranian
192,welsh_springer_spaniel
193,clumber
194,keeshond
195,rottweiler
196,great_pyrenees
197,chesapeake_bay_retriever
198,whippet
199,komondor
200,welsh_springer_spaniel
201,sealyham_terrier
202,bluetick
203,african_hunting_dog
204,black-and-tan_coonhound
205,golden_retriever
206,papillon
207,chow
208,saluki
209,golden_retriever
210,border_terrier
211,redbone
212,american_staffordshire_terrier
213,bernese_mountain_dog
214,giant_schnauzer
215,afghan_hound
216,flat-coated_retriever
217,samoyed
218,scottish_deerhound
219,norwegian_elkhound
220,leonberg
221,bloodhound
222,brittany_spaniel
223,brabancon_griffon
224,irish_wolfhound
225,tibetan_terrier
226,kuvasz
227,airedale
228,malamute
229,yorkshire_terrier
230,cardigan
231,entlebucher
232,sussex_spaniel
233,beagle
234,miniature_pinscher
235,border_collie
236,border_collie
237,scotch_terrier
238,shetland_sheepdog
239,boxer
240,greater_swiss_mountain_dog
241,miniature_schnauzer
242,scottish_deerhound
243,great_dane
244,papillon
245,chow
246,pekinese
247,standard_schnauzer
248,pug
249,airedale
250,bouvier_des_flandres
251,airedale
252,chesapeake_bay_retriever
253,siberian_husky
254,chihuahua
255,african_hunting_dog
256,komondor
257,curly-coated_retriever
258,newfoundland
259,australian_terrier
260,chihuahua
261,norfolk_terrier
262,rhodesian_ridgeback
263,kuvasz
264,irish_wolfhound
265,sealyham_terrier
266,labrador_retriever
267,airedale
268,standard_poodle
269,french_bulldog
270,old_english_sheepdog
271,appenzeller
272,dhole
273,italian_greyhound
274,norfolk_terrier
275,brittany_spaniel
276,weimaraner
277,soft-coated_wheaten_terrier
278,airedale
279,eskimo_dog
280,old_english_sheepdog
281,airedale
282,vizsla
283,yorkshire_terrier
284,gordon_setter
285,saint_bernard
286,golden_retriever
287,weimaraner
288,whippet
289,komondor
290,miniature_schnauzer
291,samoyed
292,welsh_springer_spaniel
293,english_foxhound
294,rottweiler
295,shih-tzu
296,cairn
297,basenji
298,siberian_husky
299,lakeland_terrier
300,staffordshire_bullterrier
301,norwegian_elkhound
302,borzoi
303,japanese_spaniel
304,borzoi
305,flat-coated_retriever
306,flat-coated_retriever
307,west_highland_white_terrier
308,shih-tzu
309,irish_setter
310,bloodhound
311,staffordshire_bullterrier
312,cairn
313,golden_retriever
314,tibetan_mastiff
315,tibetan_terrier
316,standard_poodle
317,welsh_springer_spaniel
318,irish_wolfhound
319,old_english_sheepdog
320,australian_terrier
321,affenpinscher
322,black-and-tan_coonhound
323,black-and-tan_coonhound
324,irish_water_spaniel
325,boston_bull
326,brittany_spaniel
327,affenpinscher
328,bluetick
329,lakeland_terrier
330,afghan_hound
331,newfoundland
332,west_highland_white_terrier
333,siberian_husky
334,vizsla
335,airedale
336,soft-coated_wheaten_terrier
337,irish_water_spaniel
338,dingo
339,shih-tzu
340,japanese_spaniel
341,irish_water_spaniel
342,pug
343,wire-haired_fox_terrier
344,miniature_schnauzer
345,cairn
346,norwegian_elkhound
347,weimaraner
348,scottish_deerhound
349,african_hunting_dog
350,norwich_terrier
351,italian_greyhound
352,border_terrier
353,tibetan_terrier
354,bedlington_terrier
355,airedale
356,otterhound
357,irish_terrier
358,rhodesian_ridgeback
359,saluki
360,leonberg
361,airedale
362,border_terrier
363,norfolk_terrier
364,border_collie
365,weimaraner
366,labrador_retriever
367,siberian_husky
368,border_terrier
369,schipperke
370,entlebucher
371,cairn
372,samoyed
373,german_shepherd
374,chow
375,west_highland_white_terrier
376,malinois
377,bedlington_terrier
378,japanese_spaniel
379,shih-tzu
380,malamute
381,miniature_pinscher
382,entlebucher
383,scottish_deerhound
384,australian_terrier
385,border_terrier
386,pug
387,keeshond
388,irish_terrier
389,norwegian_elkhound
390,shetland_sheepdog
391,american_staffordshire_terrier
392,basenji
393,chow
394,saint_bernard
395,ibizan_hound
396,rhodesian_ridgeback
397,otterhound
398,miniature_poodle
399,gordon_setter
400,dandie_dinmont
401,staffordshire_bullterrier
402,border_collie
403,rhodesian_ridgeback
404,great_pyrenees
405,old_english_sheepdog
406,kelpie
407,briard
408,afghan_hound
409,japanese_spaniel
410,blenheim_spaniel
411,basenji
412,english_springer
413,chesapeake_bay_retriever
414,ibizan_hound
415,standard_schnauzer
416,yorkshire_terrier
417,walker_hound
418,chow
419,staffordshire_bullterrier
420,saint_bernard
421,rottweiler
422,australian_terrier
423,entlebucher
424,black-and-tan_coonhound
425,cairn
426,leonberg
427,miniature_pinscher
428,rottweiler
429,soft-coated_wheaten_terrier
430,miniature_pinscher
431,flat-coated_retriever
432,dingo
433,bedlington_terrier
434,silky_terrier
435,afghan_hound
436,malinois
437,german_shepherd
438,boston_bull
439,airedale
440,brittany_spaniel
441,border_terrier
442,standard_schnauzer
443,boston_bull
444,pug
445,pug
446,miniature_schnauzer
447,old_english_sheepdog
448,border_terrier
449,maltese_dog
450,wire-haired_fox_terrier
451,ibizan_hound
452,malamute
453,labrador_retriever
454,keeshond
455,american_staffordshire_terrier
456,lakeland_terrier
457,clumber
458,malinois
459,entlebucher
460,affenpinscher
461,basenji
462,malamute
463,norwegian_elkhound
464,malamute
465,chesapeake_bay_retriever
466,tibetan_mastiff
467,brabancon_griffon
468,maltese_dog
469,irish_wolfhound
470,affenpinscher
471,airedale
472,boston_bull
473,toy_terrier
474,papillon
475,norwich_terrier
476,kuvasz
477,toy_poodle
478,papillon
479,irish_wolfhound
480,doberman
481,papillon
482,airedale
483,saluki
484,redbone
485,norfolk_terrier
486,labrador_retriever
487,scottish_deerhound
488,great_dane
489,otterhound
490,labrador_retriever
491,gordon_setter
492,wire-haired_fox_terrier
493,boxer
494,otterhound
495,blenheim_spaniel
496,west_highland_white_terrier
497,flat-coated_retriever
498,norfolk_terrier
499,west_highland_white_terrier
500,toy_terrier
501,bluetick
502,collie
503,norwich_terrier
504,newfoundland
505,tibetan_terrier
506,otterhound
507,saluki
508,scottish_deerhound
509,black-and-tan_coonhound
510,schipperke
511,kelpie
512,airedale
513,bouvier_des_flandres
514,rhodesian_ridgeback
515,japanese_spaniel
516,sussex_spaniel
517,pomeranian
518,giant_schnauzer
519,pekinese
520,beagle
521,saluki
522,english_setter
523,borzoi
524,keeshond
525,scottish_deerhound
526,german_shepherd
527,cairn
528,blenheim_spaniel
529,irish_setter
530,entlebucher
531,dhole
532,afghan_hound
533,saint_bernard
534,saint_bernard
535,norwich_terrier
536,sussex_spaniel
537,bluetick
538,miniature_poodle
539,lhasa
540,norfolk_terrier
541,scottish_deerhound
542,groenendael
543,pug
544,miniature_pinscher
545,bernese_mountain_dog
546,kerry_blue_terrier
547,border_collie
548,rhodesian_ridgeback
549,great_pyrenees
550,clumber
551,papillon
552,bernese_mountain_dog
553,labrador_retriever
554,english_setter
555,lakeland_terrier
556,black-and-tan_coonhound
557,miniature_poodle
558,curly-coated_retriever
559,schipperke
560,newfoundland
561,labrador_retriever
562,walker_hound
563,scottish_deerhound
564,keeshond
565,golden_retriever
566,papillon
567,ibizan_hound
568,mexican_hairless
569,samoyed
570,saluki
571,newfoundland
572,rottweiler
573,rhodesian_ridgeback
574,boston_bull
575,welsh_springer_spaniel
576,irish_terrier
577,miniature_poodle
578,chihuahua
579,pekinese
580,scottish_deerhound
581,maltese_dog
582,rhodesian_ridgeback
583,norwich_terrier
584,clumber
585,scotch_terrier
586,toy_terrier
587,mexican_hairless
588,leonberg
589,lhasa
590,kuvasz
591,appenzeller
592,lakeland_terrier
593,kelpie
594,miniature_pinscher
595,soft-coated_wheaten_terrier
596,ibizan_hound
597,chow
598,shetland_sheepdog
599,saluki
600,shih-tzu
601,brabancon_griffon
602,dingo
603,cardigan
604,leonberg
605,dandie_dinmont
606,kelpie
607,affenpinscher
608,dandie_dinmont
609,ibizan_hound
610,komondor
611,wire-haired_fox_terrier
612,blenheim_spaniel
613,italian_greyhound
614,leonberg
615,dingo
616,kerry_blue_terrier
617,borzoi
618,lakeland_terrier
619,dingo
620,beagle
621,silky_terrier
622,kerry_blue_terrier
623,pug
624,irish_water_spaniel
625,bouvier_des_flandres
626,border_collie
627,newfoundland
628,shih-tzu
629,maltese_dog
630,chow
631,maltese_dog
632,vizsla
633,yorkshire_terrier
634,chihuahua
635,french_bulldog
636,chesapeake_bay_retriever
637,yorkshire_terrier
638,kerry_blue_terrier
639,bluetick
640,rottweiler
641,english_foxhound
642,west_highland_white_terrier
643,cairn
644,english_setter
645,golden_retriever
646,wire-haired_fox_terrier
647,sealyham_terrier
648,ibizan_hound
649,gordon_setter
650,silky_terrier
651,irish_setter
652,golden_retriever
653,bedlington_terrier
654,golden_retriever
655,miniature_pinscher
656,english_springer
657,toy_terrier
658,wire-haired_fox_terrier
659,clumber
660,flat-coated_retriever
661,rhodesian_ridgeback
662,sealyham_terrier
663,pug
664,maltese_dog
665,gordon_setter
666,border_collie
667,pembroke
668,vizsla
669,malamute
670,chesapeake_bay_retriever
671,boston_bull
672,irish_terrier
673,leonberg
674,whippet
675,german_shepherd
676,scottish_deerhound
677,airedale
678,tibetan_mastiff
679,great_pyrenees
680,malinois
681,bluetick
682,redbone
683,norwegian_elkhound
684,irish_wolfhound
685,pomeranian
686,standard_poodle
687,miniature_schnauzer
688,great_dane
689,beagle
690,papillon
691,giant_schnauzer
692,norwegian_elkhound
693,west_highland_white_terrier
694,bernese_mountain_dog
695,saint_bernard
696,norwegian_elkhound
697,beagle
698,samoyed
699,sussex_spaniel
700,blenheim_spaniel
701,english_springer
702,pekinese
703,australian_terrier
704,miniature_pinscher
705,english_foxhound
706,walker_hound
707,tibetan_terrier
708,cairn
709,dhole
710,yorkshire_terrier
711,siberian_husky
712,lhasa
713,pembroke
714,old_english_sheepdog
715,chesapeake_bay_retriever
716,bernese_mountain_dog
717,affenpinscher
718,chow
719,saluki
720,redbone
721,sealyham_terrier
722,dandie_dinmont
723,siberian_husky
724,yorkshire_terrier
725,irish_terrier
726,blenheim_spaniel
727,golden_retriever
728,german_shepherd
729,irish_terrier
730,brittany_spaniel
731,curly-coated_retriever
732,toy_terrier
733,miniature_poodle
734,english_springer
735,kerry_blue_terrier
736,tibetan_terrier
737,eskimo_dog
738,english_setter
739,miniature_schnauzer
740,newfoundland
741,samoyed
742,tibetan_mastiff
743,old_english_sheepdog
744,newfoundland
745,lakeland_terrier
746,komondor
747,old_english_sheepdog
748,border_terrier
749,flat-coated_retriever
750,bull_mastiff
751,bouvier_des_flandres
752,samoyed
753,golden_retriever
754,beagle
755,afghan_hound
756,pomeranian
757,maltese_dog
758,samoyed
759,newfoundland
760,english_springer
761,sealyham_terrier
762,silky_terrier
763,newfoundland
764,rottweiler
765,labrador_retriever
766,miniature_pinscher
767,rottweiler
768,pembroke
769,bluetick
770,schipperke
771,newfoundland
772,bull_mastiff
773,whippet
774,bedlington_terrier
775,tibetan_mastiff
776,siberian_husky
777,italian_greyhound
778,american_staffordshire_terrier
779,maltese_dog
780,airedale
781,bull_mastiff
782,staffordshire_bullterrier
783,newfoundland
784,bouvier_des_flandres
785,yorkshire_terrier
786,wire-haired_fox_terrier
787,african_hunting_dog
788,saluki
789,siberian_husky
790,gordon_setter
791,german_short-haired_pointer
792,shetland_sheepdog
793,clumber
794,malamute
795,staffordshire_bullterrier
796,walker_hound
797,newfoundland
798,standard_schnauzer
799,miniature_poodle
800,staffordshire_bullterrier
801,bluetick
802,wire-haired_fox_terrier
803,borzoi
804,boxer
805,english_foxhound
806,norwegian_elkhound
807,chow
808,irish_terrier
809,basset
810,borzoi
811,afghan_hound
812,french_bulldog
813,bernese_mountain_dog
814,kerry_blue_terrier
815,old_english_sheepdog
816,wire-haired_fox_terrier
817,weimaraner
818,airedale
819,lhasa
820,pembroke
821,gordon_setter
822,welsh_springer_spaniel
823,bedlington_terrier
824,toy_poodle
825,yorkshire_terrier
826,pomeranian
827,samoyed
828,norwich_terrier
829,italian_greyhound
830,schipperke
831,border_collie
832,mexican_hairless
833,african_hunting_dog
834,blenheim_spaniel
835,maltese_dog
836,african_hunting_dog
837,miniature_poodle
838,vizsla
839,airedale
840,staffordshire_bullterrier
841,brabancon_griffon
842,english_foxhound
843,norwich_terrier
844,bernese_mountain_dog
845,pomeranian
846,groenendael
847,beagle
848,airedale
849,ibizan_hound
850,cairn
851,australian_terrier
852,eskimo_dog
853,irish_setter
854,irish_water_spaniel
855,german_short-haired_pointer
856,black-and-tan_coonhound
857,whippet
858,soft-coated_wheaten_terrier
859,blenheim_spaniel
860,brabancon_griffon
861,german_shepherd
862,komondor
863,english_foxhound
864,basset
865,border_terrier
866,black-and-tan_coonhound
867,cardigan
868,rhodesian_ridgeback
869,sealyham_terrier
870,saluki
871,maltese_dog
872,doberman
873,tibetan_terrier
874,rottweiler
875,west_highland_white_terrier
876,great_pyrenees
877,cairn
878,yorkshire_terrier
879,doberman
880,basenji
881,standard_poodle
882,malinois
883,entlebucher
884,affenpinscher
885,papillon
886,otterhound
887,miniature_pinscher
888,ibizan_hound
889,pug
890,blenheim_spaniel
891,wire-haired_fox_terrier
892,malinois
893,yorkshire_terrier
894,saluki
895,italian_greyhound
896,dhole
897,bloodhound
898,norfolk_terrier
899,whippet
900,whippet
901,leonberg
902,great_pyrenees
903,samoyed
904,italian_greyhound
905,malinois
906,kerry_blue_terrier
907,siberian_husky
908,norwegian_elkhound
909,norwegian_elkhound
910,maltese_dog
911,german_short-haired_pointer
912,west_highland_white_terrier
913,sussex_spaniel
914,tibetan_mastiff
915,boxer
916,english_foxhound
917,saint_bernard
918,old_english_sheepdog
919,pekinese
920,french_bulldog
921,italian_greyhound
922,chesapeake_bay_retriever
923,briard
924,doberman
925,flat-coated_retriever
926,saluki
927,ibizan_hound
928,border_terrier
929,sussex_spaniel
930,english_foxhound
931,welsh_springer_spaniel
932,curly-coated_retriever
933,siberian_husky
934,scottish_deerhound
935,entlebucher
936,airedale
937,maltese_dog
938,pomeranian
939,rottweiler
940,border_terrier
941,italian_greyhound
942,blenheim_spaniel
943,redbone
944,tibetan_mastiff
945,bernese_mountain_dog
946,curly-coated_retriever
947,papillon
948,siberian_husky
949,miniature_poodle
950,tibetan_mastiff
951,italian_greyhound
952,siberian_husky
953,affenpinscher
954,airedale
955,norwich_terrier
956,saint_bernard
957,brittany_spaniel
958,irish_water_spaniel
959,miniature_schnauzer
960,newfoundland
961,otterhound
962,schipperke
963,shetland_sheepdog
964,gordon_setter
965,old_english_sheepdog
966,maltese_dog
967,maltese_dog
968,border_collie
969,giant_schnauzer
970,clumber
971,standard_poodle
972,border_collie
973,beagle
974,bull_mastiff
975,malinois
976,border_collie
977,pug
978,dingo
979,great_pyrenees
980,west_highland_white_terrier
981,norfolk_terrier
982,bluetick
983,shih-tzu
984,appenzeller
985,west_highland_white_terrier
986,english_springer
987,sealyham_terrier
988,scottish_deerhound
989,clumber
990,staffordshire_bullterrier
991,silky_terrier
992,miniature_schnauzer
993,japanese_spaniel
994,west_highland_white_terrier
995,old_english_sheepdog
996,vizsla
997,black-and-tan_coonhound
998,old_english_sheepdog
999,greater_swiss_mountain_dog
1000,ibizan_hound
1001,german_short-haired_pointer
1002,gordon_setter
1003,clumber
1004,bluetick
1005,pomeranian
1006,afghan_hound
1007,airedale
1008,afghan_hound
1009,borzoi
1010,lakeland_terrier
1011,norwegian_elkhound
1012,saluki
1013,scotch_terrier
1014,bernese_mountain_dog
1015,lhasa
1016,sealyham_terrier
1017,siberian_husky
1018,collie
1019,german_short-haired_pointer
1020,scottish_deerhound
1021,bull_mastiff
1022,brabancon_griffon
1023,basset
1024,japanese_spaniel
1025,border_terrier
1026,bloodhound
1027,pomeranian
1028,sealyham_terrier
1029,great_dane
1030,african_hunting_dog
1031,bedlington_terrier
1032,samoyed
1033,malinois
1034,welsh_springer_spaniel
1035,affenpinscher
1036,beagle
1037,american_staffordshire_terrier
1038,black-and-tan_coonhound
1039,pembroke
1040,curly-coated_retriever
1041,chow
1042,scotch_terrier
1043,german_shepherd
1044,dandie_dinmont
1045,australian_terrier
1046,sealyham_terrier
1047,beagle
1048,newfoundland
1049,pembroke
1050,newfoundland
1051,english_setter
1052,scottish_deerhound
1053,dandie_dinmont
1054,basenji
1055,australian_terrier
1056,gordon_setter
1057,bull_mastiff
1058,lakeland_terrier
1059,norwegian_elkhound
1060,chow
1061,schipperke
1062,siberian_husky
1063,walker_hound
1064,irish_terrier
1065,affenpinscher
1066,pembroke
1067,kuvasz
1068,bull_mastiff
1069,irish_terrier
1070,pug
1071,norwegian_elkhound
1072,border_terrier
1073,great_pyrenees
1074,affenpinscher
1075,basset
1076,toy_terrier
1077,dhole
1078,kuvasz
1079,entlebucher
1080,irish_wolfhound
1081,beagle
1082,african_hunting_dog
1083,rottweiler
1084,norwegian_elkhound
1085,affenpinscher
1086,welsh_springer_spaniel
1087,afghan_hound
1088,collie
1089,sealyham_terrier
1090,bedlington_terrier
1091,sealyham_terrier
1092,afghan_hound
1093,maltese_dog
1094,irish_terrier
1095,pembroke
1096,bouvier_des_flandres
1097,leonberg
1098,lakeland_terrier
1099,basenji
1100,scotch_terrier
1101,greater_swiss_mountain_dog
1102,dandie_dinmont
1103,giant_schnauzer
1104,pembroke
1105,pembroke
1106,brittany_spaniel
1107,italian_greyhound
1108,chow
1109,basenji
1110,entlebucher
1111,bouvier_des_flandres
1112,african_hunting_dog
1113,german_shepherd
1114,basset
1115,black-and-tan_coonhound
1116,shih-tzu
1117,newfoundland
1118,irish_setter
1119,bernese_mountain_dog
1120,australian_terrier
1121,bouvier_des_flandres
1122,miniature_pinscher
1123,norwegian_elkhound
1124,english_foxhound
1125,briard
1126,lakeland_terrier
1127,gordon_setter
1128,afghan_hound
1129,entlebucher
1130,komondor
1131,mexican_hairless
1132,brabancon_griffon
1133,komondor
1134,chihuahua
1135,norwegian_elkhound
1136,bloodhound
1137,giant_schnauzer
1138,walker_hound
1139,saint_bernard
1140,australian_terrier
1141,norwich_terrier
1142,sealyham_terrier
1143,pembroke
1144,cairn
1145,bull_mastiff
1146,american_staffordshire_terrier
1147,australian_terrier
1148,basenji
1149,basset
1150,sealyham_terrier
1151,norwegian_elkhound
1152,borzoi
1153,beagle
1154,german_shepherd
1155,miniature_poodle
1156,dandie_dinmont
1157,afghan_hound
1158,maltese_dog
1159,greater_swiss_mountain_dog
1160,chesapeake_bay_retriever
1161,bedlington_terrier
1162,affenpinscher
1163,shetland_sheepdog
1164,miniature_poodle
1165,malinois
1166,ibizan_hound
1167,beagle
1168,scottish_deerhound
1169,wire-haired_fox_terrier
1170,shih-tzu
1171,clumber
1172,miniature_poodle
1173,redbone
1174,pug
1175,labrador_retriever
1176,lhasa
1177,lhasa
1178,sealyham_terrier
1179,great_pyrenees
1180,lhasa
1181,clumber
1182,entlebucher
1183,malamute
1184,border_terrier
1185,standard_poodle
1186,beagle
1187,irish_wolfhound
1188,soft-coated_wheaten_terrier
1189,bull_mastiff
1190,greater_swiss_mountain_dog
1191,cairn
1192,kelpie
1193,shetland_sheepdog
1194,miniature_pinscher
1195,clumber
1196,maltese_dog
1197,american_staffordshire_terrier
1198,bluetick
1199,miniature_pinscher
1200,chesapeake_bay_retriever
1201,leonberg
1202,pomeranian
1203,leonberg
1204,beagle
1205,boston_bull
1206,english_foxhound
1207,border_terrier
1208,bernese_mountain_dog
1209,lhasa
1210,vizsla
1211,boston_bull
1212,leonberg
1213,irish_terrier
1214,toy_poodle
1215,siberian_husky
1216,bernese_mountain_dog
1217,irish_wolfhound
1218,german_shepherd
1219,welsh_springer_spaniel
1220,scottish_deerhound
1221,standard_schnauzer
1222,redbone
1223,basenji
1224,shetland_sheepdog
1225,cardigan
1226,curly-coated_retriever
1227,newfoundland
1228,bull_mastiff
1229,norwegian_elkhound
1230,german_shepherd
1231,african_hunting_dog
1232,italian_greyhound
1233,black-and-tan_coonhound
1234,basenji
1235,redbone
1236,miniature_schnauzer
1237,saint_bernard
1238,wire-haired_fox_terrier
1239,chihuahua
1240,pembroke
1241,labrador_retriever
1242,west_highland_white_terrier
1243,entlebucher
1244,toy_poodle
1245,dhole
1246,irish_water_spaniel
1247,bull_mastiff
1248,african_hunting_dog
1249,golden_retriever
1250,dingo
1251,vizsla
1252,staffordshire_bullterrier
1253,samoyed
1254,dingo
1255,toy_poodle
1256,pembroke
1257,german_shepherd
1258,english_springer
1259,dingo
1260,cocker_spaniel
1261,kerry_blue_terrier
1262,staffordshire_bullterrier
1263,chesapeake_bay_retriever
1264,tibetan_mastiff
1265,samoyed
1266,silky_terrier
1267,clumber
1268,basenji
1269,borzoi
1270,affenpinscher
1271,great_dane
1272,airedale
1273,italian_greyhound
1274,bouvier_des_flandres
1275,chesapeake_bay_retriever
1276,lakeland_terrier
1277,australian_terrier
1278,briard
1279,scottish_deerhound
1280,rottweiler
1281,siberian_husky
1282,kelpie
1283,leonberg
1284,maltese_dog
1285,shetland_sheepdog
1286,redbone
1287,west_highland_white_terrier
1288,bloodhound
1289,greater_swiss_mountain_dog
1290,pembroke
1291,schipperke
1292,pug
1293,irish_wolfhound
1294,bouvier_des_flandres
1295,clumber
1296,siberian_husky
1297,flat-coated_retriever
1298,english_foxhound
1299,irish_setter
1300,toy_poodle
1301,saint_bernard
1302,entlebucher
1303,chihuahua
1304,samoyed
1305,great_dane
1306,walker_hound
1307,affenpinscher
1308,irish_wolfhound
1309,komondor
1310,lakeland_terrier
1311,soft-coated_wheaten_terrier
1312,entlebucher
1313,german_short-haired_pointer
1314,staffordshire_bullterrier
1315,irish_water_spaniel
1316,irish_wolfhound
1317,golden_retriever
1318,sussex_spaniel
1319,boston_bull
1320,bloodhound
1321,french_bulldog
1322,german_shepherd
1323,scotch_terrier
1324,rhodesian_ridgeback
1325,irish_terrier
1326,standard_poodle
1327,border_terrier
1328,siberian_husky
1329,boxer
1330,shetland_sheepdog
1331,german_shepherd
1332,bluetick
1333,brabancon_griffon
1334,german_shepherd
1335,shih-tzu
1336,saluki
1337,flat-coated_retriever
1338,saluki
1339,border_collie
1340,shih-tzu
1341,pembroke
1342,bluetick
1343,appenzeller
1344,pekinese
1345,tibetan_mastiff
1346,collie
1347,basenji
1348,basenji
1349,cardigan
1350,japanese_spaniel
1351,blenheim_spaniel
1352,eskimo_dog
1353,sussex_spaniel
1354,samoyed
1355,bernese_mountain_dog
1356,schipperke
1357,norwegian_elkhound
1358,otterhound
1359,bluetick
1360,vizsla
1361,american_staffordshire_terrier
1362,saint_bernard
1363,komondor
1364,cairn
1365,african_hunting_dog
1366,norfolk_terrier
1367,malinois
1368,cardigan
1369,otterhound
1370,great_pyrenees
1371,staffordshire_bullterrier
1372,mexican_hairless
1373,komondor
1374,kerry_blue_terrier
1375,australian_terrier
1376,west_highland_white_terrier
1377,beagle
1378,saint_bernard
1379,shih-tzu
1380,french_bulldog
1381,airedale
1382,groenendael
1383,bedlington_terrier
1384,leonberg
1385,maltese_dog
1386,siberian_husky
1387,ibizan_hound
1388,cocker_spaniel
1389,brittany_spaniel
1390,kerry_blue_terrier
1391,irish_wolfhound
1392,labrador_retriever
1393,boston_bull
1394,basenji
1395,sealyham_terrier
1396,weimaraner
1397,golden_retriever
1398,maltese_dog
1399,lhasa
1400,pomeranian
1401,old_english_sheepdog
1402,pembroke
1403,cocker_spaniel
1404,beagle
1405,english_setter
1406,entlebucher
1407,kerry_blue_terrier
1408,irish_setter
1409,miniature_pinscher
1410,cocker_spaniel
1411,maltese_dog
1412,border_terrier
1413,boston_bull
1414,french_bulldog
1415,irish_setter
1416,bedlington_terrier
1417,briard
1418,irish_wolfhound
1419,pomeranian
1420,dhole
1421,basset
1422,english_foxhound
1423,maltese_dog
1424,shetland_sheepdog
1425,saluki
1426,shih-tzu
1427,malinois
1428,miniature_pinscher
1429,irish_water_spaniel
1430,bernese_mountain_dog
1431,flat-coated_retriever
1432,lakeland_terrier
1433,pembroke
1434,siberian_husky
1435,malamute
1436,irish_wolfhound
1437,beagle
1438,irish_setter
1439,dingo
1440,australian_terrier
1441,brabancon_griffon
1442,chihuahua
1443,italian_greyhound
1444,bull_mastiff
1445,cairn
1446,irish_water_spaniel
1447,affenpinscher
1448,basset
1449,pomeranian
1450,australian_terrier
1451,samoyed
1452,miniature_pinscher
1453,dhole
1454,labrador_retriever
1455,japanese_spaniel
1456,african_hunting_dog
1457,shih-tzu
1458,keeshond
1459,beagle
1460,west_highland_white_terrier
1461,standard_poodle
1462,cardigan
1463,yorkshire_terrier
1464,pekinese
1465,malamute
1466,irish_setter
1467,keeshond
1468,african_hunting_dog
